# time_s,x_m,y_m,psi_rad,delta_rad,vx_mps,ax_mps2
2.260000,0.493212,-5.020370,-1.938181,-0.074001,5.183297,-3.797637
2.270000,0.475403,-5.065889,-1.949296,-0.075715,5.146533,-3.740913
2.280000,0.457084,-5.111206,-1.960670,-0.077470,5.110042,-3.684241
2.290000,0.438244,-5.156309,-1.972309,-0.079273,5.073840,-3.628020
2.300000,0.418875,-5.201188,-1.984219,-0.081120,5.037930,-3.572571
2.310000,0.398967,-5.245829,-1.996406,-0.083006,5.002314,-3.518195
2.320000,0.378509,-5.290222,-2.008876,-0.084928,4.966995,-3.465195
2.330000,0.357494,-5.334354,-2.021635,-0.086880,4.931972,-3.413742
2.340000,0.335910,-5.378210,-2.034687,-0.088858,4.897238,-3.363357
2.350000,0.313750,-5.421778,-2.048035,-0.090859,4.862781,-3.313350
2.360000,0.291003,-5.465043,-2.061682,-0.092879,4.828589,-3.263032
2.370000,0.267661,-5.507991,-2.075633,-0.094914,4.794655,-3.211892
2.380000,0.243716,-5.550605,-2.089891,-0.096970,4.760987,-3.160548
2.390000,0.219159,-5.592869,-2.104461,-0.099058,4.727605,-3.110063
2.400000,0.193983,-5.634766,-2.119348,-0.101184,4.694524,-3.061499
2.410000,0.168179,-5.676281,-2.134557,-0.103357,4.661759,-3.015862
2.420000,0.141740,-5.717394,-2.150091,-0.105571,4.629297,-2.973702
2.430000,0.114659,-5.758087,-2.165956,-0.107813,4.597108,-2.935348
2.440000,0.086929,-5.798339,-2.182155,-0.110071,4.565166,-2.901126
2.450000,0.058544,-5.838133,-2.198692,-0.112332,4.533441,-2.871096
2.460000,0.029499,-5.877447,-2.215564,-0.114583,4.501893,-2.842575
2.470000,-0.000212,-5.916261,-2.232767,-0.116808,4.470472,-2.811282
2.480000,-0.030592,-5.954552,-2.250294,-0.118995,4.439130,-2.772914
2.490000,-0.061645,-5.992300,-2.268143,-0.121133,4.407827,-2.723672
2.500000,-0.093375,-6.029482,-2.286325,-0.123277,4.376633,-2.666423
2.510000,-0.125782,-6.066074,-2.304868,-0.125527,4.345700,-2.608741
2.520000,-0.158869,-6.102053,-2.323797,-0.127982,4.315179,-2.558304
2.530000,-0.192637,-6.137394,-2.343137,-0.130734,4.285214,-2.522515
2.540000,-0.227087,-6.172071,-2.362883,-0.133695,4.255764,-2.503986
2.550000,-0.262219,-6.206056,-2.383008,-0.136630,4.226630,-2.501235
2.560000,-0.298033,-6.239320,-2.403485,-0.139297,4.197610,-2.512651
2.570000,-0.334530,-6.271835,-2.424284,-0.141465,4.168503,-2.536476
2.580000,-0.371704,-6.303573,-2.445394,-0.143151,4.139130,-2.567454
2.590000,-0.409545,-6.334513,-2.466816,-0.144631,4.109330,-2.596720
2.600000,-0.448045,-6.364629,-2.488552,-0.146188,4.078948,-2.615249
2.610000,-0.487192,-6.393899,-2.510605,-0.148104,4.047831,-2.614335
2.620000,-0.526977,-6.422296,-2.532966,-0.150413,4.016027,-2.596665
2.630000,-0.567389,-6.449792,-2.555618,-0.152850,3.983830,-2.579060
2.640000,-0.608415,-6.476361,-2.578541,-0.155131,3.951553,-2.579222
2.650000,-0.650045,-6.501972,-2.601716,-0.156977,3.919497,-2.614481
2.660000,-0.692263,-6.526602,-2.625138,-0.158346,3.887612,-2.681682
2.670000,-0.735051,-6.550227,-2.648823,-0.159556,3.855310,-2.746944
2.680000,-0.778390,-6.572826,-2.672788,-0.160956,3.821962,-2.773860
2.690000,-0.822260,-6.594378,-2.697051,-0.162892,3.786944,-2.726289
2.700000,-0.866642,-6.614854,-2.721678,-0.165627,3.750286,-2.593619
2.710000,-0.911520,-6.634216,-2.746827,-0.169273,3.713213,-2.411661
2.720000,-0.956879,-6.652424,-2.772662,-0.173927,3.677070,-2.221146
2.730000,-1.002701,-6.669439,-2.799348,-0.179683,3.643203,-2.062706
2.740000,-1.048969,-6.685214,-2.826999,-0.186449,3.612339,-1.956924
2.750000,-1.095658,-6.699689,-2.855611,-0.193718,3.583830,-1.879967
2.760000,-1.142746,-6.712802,-2.885167,-0.200928,3.556848,-1.802036
2.770000,-1.190207,-6.724489,-2.915648,-0.207517,3.530564,-1.693357
2.780000,-1.238013,-6.734691,-2.947041,-0.213173,3.504542,-1.537718
2.790000,-1.286120,-6.743360,-2.979349,-0.218262,3.479422,-1.355752
2.800000,-1.334485,-6.750448,-3.012575,-0.223264,3.456025,-1.174287
2.810000,-1.383061,-6.755908,-3.046723,-0.228660,3.435170,-1.020151
2.820000,-1.431799,-6.759690,-3.081802,-0.234769,3.417373,-0.912353
2.830000,-1.480640,-6.761742,-3.117837,-0.241369,3.402126,-0.843711
2.840000,-1.529518,-6.762011,3.128332,-0.248126,3.388709,-0.801562
2.850000,-1.578370,-6.760443,3.090305,-0.254704,3.376402,-0.773243
2.860000,-1.627130,-6.756993,3.051302,-0.260711,3.364597,-0.746274
2.870000,-1.675719,-6.751638,3.011612,-0.265511,3.353153,-0.708918
2.880000,-1.724054,-6.744365,2.971591,-0.268408,3.342050,-0.649635
2.890000,-1.772054,-6.735161,2.931595,-0.268703,3.331271,-0.556882
2.900000,-1.819638,-6.724017,2.891892,-0.266086,3.320886,-0.424404
2.910000,-1.866734,-6.710960,2.852299,-0.262250,3.311437,-0.273163
2.920000,-1.913274,-6.696026,2.812490,-0.259526,3.303617,-0.132863
2.930000,-1.959189,-6.679254,2.772138,-0.260248,3.298119,-0.033210
2.940000,-2.004406,-6.660674,2.730958,-0.266213,3.295453,0.002505
2.950000,-2.048825,-6.640277,2.688943,-0.275784,3.294970,-0.007829
2.960000,-2.092340,-6.618039,2.646196,-0.285966,3.295558,-0.030049
2.970000,-2.134843,-6.593937,2.602818,-0.293762,3.296107,-0.029952
2.980000,-2.176227,-6.567954,2.558935,-0.296525,3.295665,0.023078
2.990000,-2.216420,-6.540142,2.514854,-0.294459,3.294563,0.130696
3.000000,-2.255360,-6.510587,2.470976,-0.289145,3.293752,0.280557
3.010000,-2.292986,-6.479375,2.427697,-0.282170,3.294190,0.460228
3.020000,-2.329242,-6.446591,2.385390,-0.275034,3.296788,0.657231
3.030000,-2.364094,-6.412323,2.344159,-0.268294,3.301998,0.858677
3.040000,-2.397523,-6.376664,2.303949,-0.261955,3.310003,1.051433
3.050000,-2.429513,-6.339704,2.264703,-0.256017,3.320983,1.222361
