# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,vy_mps,psi_rate_radps
1.650000,0.922591,-2.085654,-1.585200,-0.016555,7.724849,0.000386,-0.076620
1.660000,0.921871,-2.134529,-1.586101,-0.023603,7.673093,-0.000022,-0.105254
1.670000,0.921094,-2.183404,-1.587305,-0.030033,7.622422,-0.000517,-0.136350
1.680000,0.920247,-2.232277,-1.588828,-0.035231,7.572368,-0.000739,-0.166457
1.690000,0.919317,-2.281149,-1.590634,-0.039420,7.522906,-0.000608,-0.192379
1.700000,0.918295,-2.330019,-1.592676,-0.042993,7.474109,-0.000311,-0.213571
1.710000,0.917172,-2.378886,-1.594906,-0.046346,7.426044,-0.000065,-0.230491
1.720000,0.915937,-2.427751,-1.597286,-0.049796,7.378761,0.000011,-0.245477
1.730000,0.914583,-2.476613,-1.599815,-0.053351,7.332221,-0.000017,-0.260883
1.740000,0.913100,-2.525471,-1.602503,-0.056937,7.286365,-0.000089,-0.277190
1.750000,0.911482,-2.574325,-1.605359,-0.060482,7.241132,-0.000161,-0.294290
1.760000,0.909719,-2.623174,-1.608389,-0.063924,7.196463,-0.000186,-0.311535
1.770000,0.907804,-2.672018,-1.611590,-0.067248,7.152308,-0.000167,-0.328211
1.780000,0.905729,-2.720855,-1.614954,-0.070459,7.108620,-0.000139,-0.344144
1.790000,0.903485,-2.769685,-1.618473,-0.073558,7.065353,-0.000132,-0.359358
1.800000,0.901067,-2.818506,-1.622141,-0.076551,7.022461,-0.000140,-0.374011
1.810000,0.898465,-2.867318,-1.625953,-0.079454,6.979919,-0.000135,-0.388295
1.820000,0.895675,-2.916120,-1.629907,-0.082290,6.937708,-0.000121,-0.402264
1.830000,0.892687,-2.964910,-1.633998,-0.085079,6.895808,-0.000112,-0.415923
1.840000,0.889498,-3.013687,-1.638225,-0.087841,6.854200,-0.000108,-0.429328
1.850000,0.886098,-3.062451,-1.642585,-0.090574,6.812854,-0.000104,-0.442548
1.860000,0.882483,-3.111199,-1.647076,-0.093268,6.771738,-0.000103,-0.455606
1.870000,0.878646,-3.159930,-1.651697,-0.095912,6.730818,-0.000111,-0.468497
1.880000,0.874581,-3.208642,-1.656446,-0.098497,6.690059,-0.000117,-0.481148
1.890000,0.870281,-3.257335,-1.661320,-0.101014,6.649423,-0.000111,-0.493455
1.900000,0.865740,-3.306006,-1.666315,-0.103456,6.608868,-0.000099,-0.505380
