time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
6.700000,-2.073694,1.367789,1.863050,-0.073226,4.614199,-4.606093
6.750000,-2.121683,1.531375,1.848591,-0.095871,4.439293,-4.192200
6.800000,-2.166993,1.695727,1.830392,-0.117990,4.273845,-3.766796
6.850000,-2.208983,1.860940,1.808291,-0.141821,4.119509,-3.397206
6.900000,-2.246965,2.027108,1.782044,-0.166434,3.975136,-3.073704
6.950000,-2.280224,2.194316,1.751635,-0.187605,3.840184,-2.857800
7.000000,-2.308120,2.362509,1.718100,-0.207257,3.710228,-2.594180
7.050000,-2.330053,2.531563,1.680919,-0.229528,3.587954,-2.347522
7.100000,-2.345350,2.701335,1.639714,-0.253296,3.473830,-2.172387
7.150000,-2.353305,2.871634,1.594584,-0.276437,3.364742,-1.899563
7.200000,-2.353220,3.042150,1.545287,-0.302323,3.265212,-1.529730
7.250000,-2.344338,3.212408,1.491169,-0.333224,3.183349,-1.358867
7.300000,-2.325810,3.381830,1.431850,-0.358333,3.109114,-1.252582
7.350000,-2.296966,3.549864,1.369400,-0.370462,3.039564,-1.295474
7.400000,-2.257556,3.715799,1.305621,-0.376707,2.966674,-1.471260
7.450000,-2.207572,3.878816,1.240771,-0.382908,2.882277,-1.835536
7.500000,-2.147100,4.038101,1.174785,-0.393035,2.774127,-2.242928
7.550000,-2.076137,4.192862,1.105978,-0.425994,2.633808,-2.136368
7.600000,-1.994131,4.342062,1.028190,-0.503259,2.487481,-1.396650
7.650000,-1.899610,4.483794,0.934453,-0.597794,2.386894,-1.096050
7.700000,-1.791173,4.615237,0.825810,-0.668350,2.306695,-1.048506
7.750000,-1.668502,4.733512,0.707070,-0.720897,2.227999,-1.057891
7.800000,-1.532272,4.835854,0.580124,-0.770823,2.145033,-0.901349
7.850000,-1.383784,4.919386,0.443028,-0.836993,2.070112,-0.445220
7.900000,-1.225000,4.980943,0.293885,-0.921772,2.028224,0.030275
7.950000,-1.058580,5.017126,0.133303,-0.970157,2.028667,0.017319
